filename,anumber,report_type,sentence_count,prop,length
a072376_bb_2006a_10327822.json,72376,Annual,1823,0.40427866154690106,737
a072378_p27_1619 text_12329445.json,72378,Annual,28,0.35714285714285715,10
a072379_p27_1619 text_13609066.json,72379,Annual,28,0.35714285714285715,10
a072380_p27_1519 text_15918405.json,72380,Annual,49,0.7142857142857143,35
a072384_report-2005 exploration program report-final draft 11-_10431654.json,72384,Annual,397,0.12594458438287154,50
a072386_jc_2005a_16148319.json,72386,Annual,223,0.28699551569506737,64
a072387_ih_ annual_2005_15567847.json,72387,Annual,206,0.7135922330097085,147
a072388_c1572002_tb ann rpt_2006_15728480.json,72388,Annual,363,0.5785123966942147,210
a072390_c10-2004_2006a_18858196.json,72390,Annual,103,0.4466019417475727,46
a072391_c125_2004_2006a_12728776.json,72391,Annual,10764,0.40691192865105796,4380
a072394_nar_e281390_2006a_12577240.json,72394,Annual,33,0.36363636363636365,12
a072396_06fields_find_ann_rpt_16269784.json,72396,Annual,57,0.6315789473684209,36
a072398_c0892002_annual reprt_2005a_14670786.json,72398,Annual,210,0.38571428571428584,81
a072399_cah_c99_1994_text2005a_12470623.json,72399,Annual,316,0.5094936708860758,161
a072400_0546-2006-03_15430827.json,72400,Annual,166,0.5843373493975905,97
a072407_c213-1996 sdp ar 2005_9916240.json,72407,Annual,45,0.2,9
a072408_albion annual report 2006_17321864.json,72408,Annual,84,0.41666666666666663,35
a072409_western tanami combined annual report_14271769.json,72409,Annual,1640,0.3841463414634149,630
a072411_hogans_1192005_2006a_14313380.json,72411,Annual,371,0.47439353099730386,176
a072412_waverley south annual report 2006_10840687.json,72412,Annual,81,0.4444444444444444,36
a072415_cb_2006a_16362085.json,72415,Annual,97,0.3917525773195876,38
a072422_eh_2006a_16005934.json,72422,Annual,32,0.375,12
a072425_c141_2005_2006a_11409737.json,72425,Annual,148,0.41891891891891897,62
a072425_c141_2005_ver2006a_11416286.json,72425,Annual,19,0.3684210526315789,7
a072426_lpw_2005a_9611955.json,72426,Annual,85,0.4235294117647058,36
a072427_c175_94_2006a_13961813.json,72427,Annual,50,0.16,8
a072429_doir annual report 2005_16518241.json,72429,Annual,315,0.5333333333333334,168
a072430_jrl_ar_2005_14750045.json,72430,Annual,944,0.36970338983050793,349
a072431_annual report e77-898 2006_10206222.json,72431,Annual,107,0.5981308411214953,64
a072433_lav_2005a_10229488.json,72433,Annual,390,0.3743589743589739,146
a072435_gp_2005a_10718095.json,72435,Annual,108,0.39814814814814814,43
a072436_monger jv annual 2006 -  k203-5 - 6359_18038223.json,72436,Annual,210,0.4333333333333335,91
a072438_menzies annual report 2005 for doir_10904890.json,72438,Annual,89,0.3707865168539325,33
a072445_tuckabianna_c135_2005a_11017372.json,72445,Annual,1051,0.3187440532825876,335
a072446_abnth_ann_06_11100776.json,72446,Annual,219,0.3561643835616438,78
a072447_collurabbie annual report 2006_15521208.json,72447,Annual,109,0.3577981651376147,39
a072450_m380261_2005ann_11424771.json,72450,Annual,158,0.360759493670886,57
a072451_c101_2003_2005a_14708906.json,72451,Annual,85,0.3529411764705882,30
a072452_c117_1997_2005a_14769468.json,72452,Annual,123,0.2845528455284552,35
a072453_larkinville_a_2006_17964592.json,72453,Annual,89,0.5842696629213481,52
a072454_c19_2006a_11345616.json,72454,Annual,2748,0.2736535662299863,752
a072456_p24_2571_2006a_17633936.json,72456,Annual,94,0.21276595744680848,20
a072460_scorpion well 2005-2006 annual report_10848695.json,72460,Annual,31,0.6774193548387097,21
a072461_e47-1294_200605_annrep_14651717.json,72461,Annual,165,0.4121212121212122,68
a072462_glenburgh annual 2005-2006_17345695.json,72462,Annual,213,0.5962441314553989,127
a072464_e52-1597-2_18877541.json,72464,Annual,135,0.6962962962962963,94
a072465_c103-2002_cwp_ verification_report_2005_11120367.json,72465,Annual,22,0.3181818181818182,7
a072465_c103-2002_cwp_annual_report_2005_11132787.json,72465,Annual,345,0.3478260869565219,120
a072467_e47_1124_annual_2006_15478895.json,72467,Annual,91,0.2747252747252747,25
a072468_e47_1130_annual_2006_15587572.json,72468,Annual,86,0.186046511627907,16
a072469_e47_1129_annual_2006_16929674.json,72469,Annual,88,0.21590909090909088,19
a072470_e47_1128_annual_2006_15646390.json,72470,Annual,84,0.24999999999999994,21
a072471_mp m77-406 2006a_12857213.json,72471,Annual,154,0.4025974025974027,62
a072476_a72476_17333488.json,72476,Annual,187,0.5828877005347595,109
a072480_combined annual report yannarie c145_2005 final compiled_16030774.json,72480,Annual,391,0.20460358056265976,80
a072481_combined annual report urandy project final compiled1_15675965.json,72481,Annual,334,0.20059880239520947,67
a072484_e74_1777&1778_2006_firstannrep_16388443.json,72484,Annual,146,0.5205479452054791,76
a072485_2006 annual report e51-1066_15608693.json,72485,Annual,65,0.46153846153846156,30
a072486_c305_1996_2005a_14250496.json,72486,Annual,209,0.4354066985645934,91
a072488_qzc_c120_2004_text2005a_15444591.json,72488,Annual,200,0.3750000000000002,75
a072489_c51-2002_a_2006_10382906.json,72489,Annual,146,0.554794520547945,81
a072490_c151_2002_2006p_12278999.json,72490,Partial Surrender,33,0.36363636363636365,12
a072494_mtpleasant_ann_06_14226816.json,72494,Annual,1128,0.427304964539007,482
a072495_combined annual report c75-2006_14303982.json,72495,Annual,76,0.513157894736842,39
a072496_e28-1461 annual report to 05-04-06_14252555.json,72496,Annual,77,0.5194805194805195,40
a072497_rnp_c61_1999_ 2006a_report_14540015.json,72497,Annual,108,0.37962962962962976,41
a072500_may06_braemore_2005-2006annual_11888113.json,72500,Annual,183,0.5901639344262298,108
a072500_may06_braemore_2005-2006annualverif_11972635.json,72500,Annual,18,0.3333333333333333,6
a072502_kus_c87_2004_text2005a_12897294.json,72502,Annual,221,0.3529411764705884,78
a072503_c242_1995_2005a_11454296.json,72503,Annual,318,0.2893081761006289,92
a072504_lady mary deep lead annual 2006_14307091.json,72504,Annual,73,0.6575342465753423,48
a072509_c162_2005_2006a_15002647.json,72509,Annual,273,0.0695970695970696,19
a072512_rocklea annual report_may 2006_9920634.json,72512,Annual,73,0.4520547945205479,33
a072516_e47_1417_cpme_2006a_14869947.json,72516,Annual,97,0.38144329896907214,37
a072519_c22_1993_2006a_12187863.json,72519,Annual,315,0.2666666666666666,84
a072520_cr_a_2005_12089731.json,72520,Annual,102,0.6078431372549021,62
a072522_c164_2002_2005a_16125053.json,72522,Annual,134,0.373134328358209,50
a072527_citicannual06_16735153.json,72527,Annual,306,0.3627450980392155,111
a072529_mabrouk minerals annual report may 2006_15451393.json,72529,Annual,104,0.33653846153846156,35
a072534_w131_c652004_ar2006_12440778.json,72534,Annual,64,0.375,24
